scaffold	start	end	mid	sites	sitesUsed	ABBA	BABA	D	fd	fdM	fdM_zscore	fdM_pvalue	fdM_abs	fdM_pvalue_adj	fdM_sig_005	fdM_sig_001	fdM_pvalue_bonferroni	busco_ids	busco_descriptions	gene_count	busco_ids.500kb	gene_count.500kb
3	36400001	36500000	36449967	5691	2455	58.875	35.375	0.2493	0.045	0.0285	0.06932323608387266	0.9447323305066446	0.0285	0.9975364377295958	FALSE	FALSE	1			0	3251at8782,1086at8782,32491at8782,42475at8782,28231at8782,21110at8782	6
3	36500001	36600000	36546125	5810	2513	42.5	22.75	0.3027	0.0387	0.0251	-0.04820026042984275	0.9615566426375068	0.0251	0.9975364377295958	FALSE	FALSE	1	3251at8782	Cobalamin (vitamin B12)-binding domain	1	3251at8782,1086at8782,32491at8782,42475at8782,28231at8782,21110at8782	6
3	36600001	36700000	36654709	5229	2145	45.25	11.5	0.5947	0.0661	0.0416	0.5221343550043642	0.601576787964722	0.0416	0.9975364377295958	FALSE	FALSE	1	1086at8782,32491at8782	HEAT repeat-containing protein 1,galectin-8 isoform X1	2	3251at8782,1086at8782,32491at8782,42475at8782,28231at8782,21110at8782	6
3	36700001	36800000	36752709	5330	2185	28.375	17.375	0.2404	0.0243	0.0154	-0.38348788283661905	0.7013580529261656	0.0154	0.9975364377295958	FALSE	FALSE	1	32491at8782,42475at8782,28231at8782	galectin-8 isoform X1,Death domain,integral membrane protein GPR137B isoform X1	3	3251at8782,1086at8782,32491at8782,42475at8782,28231at8782,21110at8782,18675at8782	7
3	36800001	36900000	36835137	3983	1655	23	6.5	0.5593	0.0557	0.0319	0.18684673259758794	0.8517808047708035	0.0319	0.9975364377295958	FALSE	FALSE	1	28231at8782	integral membrane protein GPR137B isoform X1	1	3251at8782,1086at8782,32491at8782,42475at8782,28231at8782,21110at8782,18675at8782	7
3	36900001	37000000	36956847	4857	1965	37	10.75	0.5497	0.0641	0.0403	0.47719890045500263	0.6332204940241908	0.0403	0.9975364377295958	FALSE	FALSE	1	21110at8782	Protein unc-93 A	1	3251at8782,1086at8782,32491at8782,42475at8782,28231at8782,21110at8782,18675at8782	7
3	37000001	37100000	37048487	5192	2130	70	12	0.7073	0.1205	0.0716	1.5591063830665588	0.11897120314248055	0.0716	0.9975364377295958	FALSE	FALSE	1			0	3251at8782,1086at8782,32491at8782,42475at8782,28231at8782,21110at8782,18675at8782,11745at8782	8
3	37100001	37200000	37151828	5069	2132	25	17.5	0.1765	0.0164	0.0102	-0.5632297010340661	0.5732784806150448	0.0102	0.9975364377295958	FALSE	FALSE	1			0	1086at8782,32491at8782,42475at8782,28231at8782,21110at8782,18675at8782,11745at8782	7
3	37200001	37300000	37248005	5288	2184	18.75	14.5	0.1278	0.0086	0.0056	-0.7222320786702694	0.47015180395634526	0.0056	0.9975364377295958	FALSE	FALSE	1	18675at8782	Kinesin motor domain	1	32491at8782,42475at8782,28231at8782,21110at8782,18675at8782,11745at8782	6
3	37300001	37400000	37350236	5615	2353	30.75	28	0.0468	0.0056	0.0036	-0.791363547207749	0.42873187544329183	0.0036	0.9975364377295958	FALSE	FALSE	1			0	28231at8782,21110at8782,18675at8782,11745at8782	4
3	37400001	37500000	37447917	5509	2203	24	12.25	0.3241	0.0257	0.0163	-0.3523787219947533	0.724554257322251	0.0163	0.9975364377295958	FALSE	FALSE	1			0	21110at8782,18675at8782,11745at8782	3
3	37500001	37600000	37543074	4353	1740	37.125	12.375	0.5	0.0583	0.0351	0.29745708225755546	0.7661175692693456	0.0351	0.9975364377295958	FALSE	FALSE	1	11745at8782	Dapper	1	18675at8782,11745at8782,3306at8782	3
3	37600001	37700000	37650157	5575	2262	52	12.5	0.61240000000000006	0.0747	0.0461	0.6776801592136936	0.49797450905859253	0.0461	0.9975364377295958	FALSE	FALSE	1			0	18675at8782,11745at8782,3306at8782,8598at8782	4
3	37700001	37800000	37750546	5659	2372	36.5	13.75	0.4527	0.0448	0.0283	0.062410089230124616	0.9502362605803629	0.0283	0.9975364377295958	FALSE	FALSE	1			0	18675at8782,11745at8782,3306at8782,8598at8782,46383at8782,24080at8782,48457at8782,14606at8782	8
3	37800001	37900000	37849151	4766	2072	20.25	32.25	-0.2286	-0.0238	-0.0152	-1.4411993514600578	0.14952837156402876	0.0152	0.9975364377295958	FALSE	FALSE	1			0	11745at8782,3306at8782,8598at8782,46383at8782,24080at8782,48457at8782,14606at8782	7
3	37900001	38000000	37952499	5545	2297	41	20	0.3443	0.0407	0.0262	-0.010177952734228939	0.9918793088577291	0.0262	0.9988674040052263	FALSE	FALSE	1			0	11745at8782,3306at8782,8598at8782,46383at8782,24080at8782,48457at8782,14606at8782	7
3	38000001	38100000	38049912	5461	2236	27	12.5	0.3671	0.03	0.0193	-0.24868151918853373	0.8036071453871028	0.0193	0.9975364377295958	FALSE	FALSE	1	3306at8782	Thrombospondin type-1 (TSP1) repeat	1	11745at8782,3306at8782,8598at8782,46383at8782,24080at8782,48457at8782,14606at8782,12070at8782	8
3	38100001	38200000	38149004	5449	2347	20	16.75	0.0884	0.0061	0.0039	-0.780993826927127	0.4348061254148614	0.0039	0.9975364377295958	FALSE	FALSE	1	8598at8782	WD40 repeat	1	3306at8782,8598at8782,46383at8782,24080at8782,48457at8782,14606at8782,12070at8782,41775at8782	8
3	38200001	38300000	38252072	4767	1998	35.5	11.75	0.5026	0.0489	0.0318	0.1833901591707141	0.854491896772515	0.0318	0.9975364377295958	FALSE	FALSE	1	8598at8782,46383at8782,24080at8782,48457at8782,14606at8782	WD40 repeat,UPF0669 protein C6orf120,Zinc finger, PHD-finger,Dynein light chain Tctex-1 like,endoplasmic reticulum membrane-associated RNA degradation protein	5	3306at8782,8598at8782,46383at8782,24080at8782,48457at8782,14606at8782,12070at8782,41775at8782,12709at8782	9
3	38300001	38400000	38349685	5196	2142	20.5	17.25	0.0861	0.0073	0.0044	-0.7637109597927572	0.445039508092246	0.0044	0.9975364377295958	FALSE	FALSE	1			0	3306at8782,8598at8782,46383at8782,24080at8782,48457at8782,14606at8782,12070at8782,41775at8782,12709at8782,38479at8782,8135at8782,44622at8782	12
3	38400001	38500000	38450636	5335	2111	17.75	19.25	-0.0405	-0.0031	-0.002	-0.984931659112692	0.3246576411391684	0.002	0.9975364377295958	FALSE	FALSE	1			0	3306at8782,8598at8782,46383at8782,24080at8782,48457at8782,14606at8782,12070at8782,41775at8782,12709at8782,38479at8782,8135at8782,44622at8782,11286at8782,27095at8782,11696at8782	15
3	38500001	38600000	38548509	5015	1885	32.75	28.25	0.0738	0.0097	0.0062	-0.7014926381090254	0.4829956273655318	0.0062	0.9975364377295958	FALSE	FALSE	1	12070at8782	Asteroid domain	1	3306at8782,8598at8782,46383at8782,24080at8782,48457at8782,14606at8782,12070at8782,41775at8782,12709at8782,38479at8782,8135at8782,44622at8782,11286at8782,27095at8782,11696at8782	15
3	38600001	38700000	38653766	5284	2129	55.125	25.375	0.3696	0.0529	0.0331	0.22832561372007573	0.8193931135366253	0.0331	0.9975364377295958	FALSE	FALSE	1	12070at8782,41775at8782	Asteroid domain,Proteasome subunit beta type	2	8598at8782,46383at8782,24080at8782,48457at8782,14606at8782,12070at8782,41775at8782,12709at8782,38479at8782,8135at8782,44622at8782,11286at8782,27095at8782,11696at8782	14
3	38700001	38800000	38750370	5783	2545	54	48	0.0588	0.01	0.0062	-0.7014926381090254	0.4829956273655318	0.0062	0.9975364377295958	FALSE	FALSE	1	12709at8782	Phospholipid/glycerol acyltransferase	1	8598at8782,46383at8782,24080at8782,48457at8782,14606at8782,12070at8782,41775at8782,12709at8782,38479at8782,8135at8782,44622at8782,11286at8782,27095at8782,11696at8782,2439at8782	15
3	38800001	38900000	38852276	5863	2432	63.75	33	0.3178	0.0433	0.0273	0.02784435496138488	0.9777862895195026	0.0273	0.9975364377295958	FALSE	FALSE	1	38479at8782,8135at8782,44622at8782	Arv1 protein,Tetratricopeptide repeat,uncharacterized protein C1orf198 homolog	3	12070at8782,41775at8782,12709at8782,38479at8782,8135at8782,44622at8782,11286at8782,27095at8782,11696at8782,2439at8782,13775at8782,16588at8782,4636at8782	13
3	38900001	39000000	38949737	6099	2638	40.5	51.5	-0.1196	-0.0177	-0.0115	-1.3133061346657204	0.1890798121996662	0.0115	0.9975364377295958	FALSE	FALSE	1	11286at8782,27095at8782,11696at8782	Peptidase C2, calpain, catalytic domain,Serpin domain,conserved oligomeric Golgi complex subunit 2	3	12070at8782,41775at8782,12709at8782,38479at8782,8135at8782,44622at8782,11286at8782,27095at8782,11696at8782,2439at8782,13775at8782,16588at8782,4636at8782	13
3	39000001	39100000	39048967	6173	2592	23	40.5	-0.2756	-0.0314	-0.0195	-1.589832008815639	0.11187267672270251	0.0195	0.9975364377295958	FALSE	FALSE	1			0	12070at8782,41775at8782,12709at8782,38479at8782,8135at8782,44622at8782,11286at8782,27095at8782,11696at8782,2439at8782,13775at8782,16588at8782,4636at8782	13
3	39100001	39200000	39148781	5597	2514	18.25	20.5	-0.0581	-0.0041	-0.0027	-1.0091276731008099	0.31291340788640154	0.0027	0.9975364377295958	FALSE	FALSE	1			0	12070at8782,41775at8782,12709at8782,38479at8782,8135at8782,44622at8782,11286at8782,27095at8782,11696at8782,2439at8782,13775at8782,16588at8782,4636at8782,40437at8782,13332at8782,25006at8782	16
3	39200001	39300000	39248813	5081	2224	46.125	41.875	0.0483	0.0086	0.0054	-0.7291452255240174	0.4659128326020634	0.0054	0.9975364377295958	FALSE	FALSE	1	2439at8782	Nucleolar 27S pre-rRNA processing, Urb2/Npa2, C-terminal	1	12709at8782,38479at8782,8135at8782,44622at8782,11286at8782,27095at8782,11696at8782,2439at8782,13775at8782,16588at8782,4636at8782,40437at8782,13332at8782,25006at8782,34544at8782	15
3	39300001	39400000	39349318	6060	2627	67.625	53.625	0.1155	0.0237	0.015	-0.39731417654411505	0.691135794569985	0.015	0.9975364377295958	FALSE	FALSE	1	2439at8782,13775at8782,16588at8782,4636at8782	Nucleolar 27S pre-rRNA processing, Urb2/Npa2, C-terminal,TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L,ABC transporter-like,Nucleoporin, Nup133/Nup155-like, C-terminal	4	38479at8782,8135at8782,44622at8782,11286at8782,27095at8782,11696at8782,2439at8782,13775at8782,16588at8782,4636at8782,40437at8782,13332at8782,25006at8782,34544at8782	14
3	39400001	39500000	39451317	5598	2344	62.375	32.375	0.3166	0.0595	0.0355	0.3112833759650513	0.75558520400663	0.0355	0.9975364377295958	FALSE	FALSE	1			0	11286at8782,27095at8782,11696at8782,2439at8782,13775at8782,16588at8782,4636at8782,40437at8782,13332at8782,25006at8782,34544at8782	11
3	39500001	39600000	39550276	6080	2529	59.5	31	0.3149	0.0471	0.0304	0.1349981311944783	0.8926133518966493	0.0304	0.9975364377295958	FALSE	FALSE	1			0	2439at8782,13775at8782,16588at8782,4636at8782,40437at8782,13332at8782,25006at8782,34544at8782	8
3	39600001	39700000	39652040	6888	2856	94.375	70.625	0.1439	0.0341	0.0213	-0.17955005065105414	0.8575058210617583	0.0213	0.9975364377295958	FALSE	FALSE	1	40437at8782,13332at8782,25006at8782	Small GTPase,exocyst complex component 8,SprT-like	3	2439at8782,13775at8782,16588at8782,4636at8782,40437at8782,13332at8782,25006at8782,34544at8782	8
3	39700001	39800000	39751061	5859	2358	27.25	33	-0.0954	-0.0107	-0.0069	-1.1543037570295172	0.24837565675110218	0.0069	0.9975364377295958	FALSE	FALSE	1	34544at8782	translin-associated protein X	1	2439at8782,13775at8782,16588at8782,4636at8782,40437at8782,13332at8782,25006at8782,34544at8782	8
3	39800001	39900000	39851256	6048	2468	14.875	29.625	-0.3315	-0.0254	-0.0168	-1.4965045262900414	0.13452222927630597	0.0168	0.9975364377295958	FALSE	FALSE	1			0	2439at8782,13775at8782,16588at8782,4636at8782,40437at8782,13332at8782,25006at8782,34544at8782,21554at8782	9
3	39900001	40000000	39949309	5989	2342	30	21.25	0.1707	0.015	0.0098	-0.5770559947415621	0.5639016299350947	0.0098	0.9975364377295958	FALSE	FALSE	1			0	40437at8782,13332at8782,25006at8782,34544at8782,21554at8782,47303at8782	6
3	40000001	40100000	40048306	6457	2562	79.25	46.75	0.2579	0.051	0.0318	0.1833901591707141	0.854491896772515	0.0318	0.9975364377295958	FALSE	FALSE	1			0	40437at8782,13332at8782,25006at8782,34544at8782,21554at8782,47303at8782	6
3	40100001	40200000	40151242	6920	2653	47.5	42.75	0.0526	0.0075	0.005	-0.7429715192315133	0.4574989237335674	0.005	0.9975364377295958	FALSE	FALSE	1			0	40437at8782,13332at8782,25006at8782,34544at8782,21554at8782,47303at8782	6
3	40200001	40300000	40248090	6239	2446	51.375	35.375	0.1844	0.0263	0.0169	-0.3316392814335094	0.7401616543736211	0.0169	0.9975364377295958	FALSE	FALSE	1			0	34544at8782,21554at8782,47303at8782	3
3	40300001	40400000	40352060	6228	2439	53.375	50.625	0.0264	0.0047	0.003	-0.8121029877689929	0.4167325389310039	0.003	0.9975364377295958	FALSE	FALSE	1	21554at8782	microtubule-associated protein 10	1	21554at8782,47303at8782	2
3	40400001	40500000	40449761	6830	2850	42.125	32.625	0.1271	0.0145	0.0094	-0.590882288449058	0.5545992940443543	0.0094	0.9975364377295958	FALSE	FALSE	1	47303at8782	cancer-related nucleoside-triphosphatase	1	21554at8782,47303at8782,6109at8782	3
3	40500001	40600000	40547329	5031	2213	29.25	14.5	0.3371	0.0278	0.0175	-0.3108998408722654	0.7558767654510581	0.0175	0.9975364377295958	FALSE	FALSE	1			0	21554at8782,47303at8782,6109at8782	3
3	40600001	40700000	40650755	5105	2237	10.5	19.25	-0.2941	-0.0167	-0.0105	-1.2787404003969804	0.20098848780780543	0.0105	0.9975364377295958	FALSE	FALSE	1			0	21554at8782,47303at8782,6109at8782,41316at8782	4
3	40700001	40800000	40750458	4202	1700	12.75	8.25	0.2143	0.0108	0.0069	-0.6772966241209076	0.49821777238559983	0.0069	0.9975364377295958	FALSE	FALSE	1			0	21554at8782,47303at8782,6109at8782,41316at8782	4
3	40800001	40900000	40849561	3844	1525	13.625	14.375	-0.0268	-0.002	-0.0013	-0.9607356451245741	0.3366851038069496	0.0013	0.9975364377295958	FALSE	FALSE	1			0	21554at8782,47303at8782,6109at8782,41316at8782,3337at8782	5
3	40900001	41000000	40952759	5111	2113	18.25	18.5	-0.0068	-5e-4	-3e-4	-0.9261699108558344	0.35435768680236013	3e-4	0.9975364377295958	FALSE	FALSE	1	6109at8782	Serine-threonine/tyrosine-protein kinase, catalytic domain	1	47303at8782,6109at8782,41316at8782,3337at8782	4
3	41000001	41100000	41051514	5497	2189	42.75	23	0.3004	0.0392	0.0233	-0.11041858211357443	0.9120774168419117	0.0233	0.9975364377295958	FALSE	FALSE	1	6109at8782	Serine-threonine/tyrosine-protein kinase, catalytic domain	1	6109at8782,41316at8782,3337at8782	3
3	41100001	41200000	41149685	5753	2436	79.25	32.25	0.4215	0.0751	0.0486	0.764094494885543	0.4448109327046814	0.0486	0.9975364377295958	FALSE	FALSE	1	41316at8782	Potassium channel domain	1	6109at8782,41316at8782,3337at8782,53050at8782,33961at8782	5
3	41200001	41300000	41250089	5454	2386	41.25	35	0.082	0.01	0.0066	-0.6876663444015296	0.4916629185841619	0.0066	0.9975364377295958	FALSE	FALSE	1			0	6109at8782,41316at8782,3337at8782,53050at8782,33961at8782,32533at8782	6
3	41300001	41400000	41350866	5457	2134	15.375	29.375	-0.3128	-0.0277	-0.0172	-1.5103308199975372	0.1309590312770781	0.0172	0.9975364377295958	FALSE	FALSE	1	3337at8782	tRNA/rRNA methyltransferase, SpoU type	1	6109at8782,41316at8782,3337at8782,53050at8782,33961at8782,32533at8782,19836at8782,17861at8782,53661at8782,202at8782	10
3	41400001	41500000	41451718	5065	1997	36.25	22	0.2446	0.0273	0.0169	-0.3316392814335094	0.7401616543736211	0.0169	0.9975364377295958	FALSE	FALSE	1			0	6109at8782,41316at8782,3337at8782,53050at8782,33961at8782,32533at8782,19836at8782,17861at8782,53661at8782,202at8782	10
3	41500001	41600000	41552231	5612	2231	24.5	16.5	0.1951	0.0137	0.0094	-0.590882288449058	0.5545992940443543	0.0094	0.9975364377295958	FALSE	FALSE	1			0	6109at8782,41316at8782,3337at8782,53050at8782,33961at8782,32533at8782,19836at8782,17861at8782,53661at8782,202at8782,31311at8782,34006at8782,35364at8782	13
3	41600001	41700000	41649185	5584	2219	45.75	37	0.1057	0.0158	0.0094	-0.590882288449058	0.5545992940443543	0.0094	0.9975364377295958	FALSE	FALSE	1	53050at8782,33961at8782	Mitochondrial import receptor subunit TOM20,RNA-binding protein 34	2	41316at8782,3337at8782,53050at8782,33961at8782,32533at8782,19836at8782,17861at8782,53661at8782,202at8782,31311at8782,34006at8782,35364at8782	12
3	41700001	41800000	41748884	5734	2388	17.25	15.5	0.0534	0.0027	0.0018	-0.8535818688914807	0.3933367081011112	0.0018	0.9975364377295958	FALSE	FALSE	1	32533at8782	geranylgeranyl pyrophosphate synthase	1	3337at8782,53050at8782,33961at8782,32533at8782,19836at8782,17861at8782,53661at8782,202at8782,31311at8782,34006at8782,35364at8782	11
3	41800001	41900000	41848896	5591	2288	70.25	13.75	0.6726	0.0893	0.0556	1.0060546347667219	0.3143892893949036	0.0556	0.9975364377295958	FALSE	FALSE	1	19836at8782,17861at8782,53661at8782,202at8782	tubulin-specific chaperone E,UDP-GalNAc:beta-1, 3-N-acetylgalactosaminyltransferase 2,G-protein gamma-like domain,lysosomal-trafficking regulator	4	3337at8782,53050at8782,33961at8782,32533at8782,19836at8782,17861at8782,53661at8782,202at8782,31311at8782,34006at8782,35364at8782	11
3	41900001	42000000	41951500	5950	2321	38.25	21	0.2911	0.0313	0.0203	-0.214115784919794	0.83045676664971535	0.0203	0.9975364377295958	FALSE	FALSE	1	202at8782	lysosomal-trafficking regulator	1	53050at8782,33961at8782,32533at8782,19836at8782,17861at8782,53661at8782,202at8782,31311at8782,34006at8782,35364at8782,36059at8782	11
3	42000001	42100000	42048834	5864	2362	17	93.5	-0.6923	-0.1358	-0.0823	-3.7605601208925	1.6953332187519266e-4	0.0823	0.030212117454928203	TRUE	FALSE	1	31311at8782,34006at8782,35364at8782	C-C chemokine receptor type 6,FGFR1 oncogene partner,ribonuclease T2	3	53050at8782,33961at8782,32533at8782,19836at8782,17861at8782,53661at8782,202at8782,31311at8782,34006at8782,35364at8782,36059at8782	11
3	42100001	42200000	42151791	5883	2476	48.375	30.875	0.2208	0.0298	0.0197	-0.23485522548103788	0.8143211025068995	0.0197	0.9975364377295958	FALSE	FALSE	1			0	53050at8782,33961at8782,32533at8782,19836at8782,17861at8782,53661at8782,202at8782,31311at8782,34006at8782,35364at8782,36059at8782	11
3	42200001	42300000	42250951	5833	2383	20	15.5	0.1268	0.0086	0.0054	-0.7291452255240174	0.4659128326020634	0.0054	0.9975364377295958	FALSE	FALSE	1			0	32533at8782,19836at8782,17861at8782,53661at8782,202at8782,31311at8782,34006at8782,35364at8782,36059at8782,7850at8782	10
3	42300001	42400000	42348871	6052	2415	83.875	29.875	0.4747	0.0871	0.0554	0.9991414879129739	0.317726155789134	0.0554	0.9975364377295958	FALSE	FALSE	1			0	19836at8782,17861at8782,53661at8782,202at8782,31311at8782,34006at8782,35364at8782,36059at8782,7850at8782	9
3	42400001	42500000	42450120	5828	2140	44	14.25	0.5107	0.0514	0.0329	0.22141246686632782	0.8247712861522822	0.0329	0.9975364377295958	FALSE	FALSE	1	36059at8782	Transcription factor, T-box	1	202at8782,31311at8782,34006at8782,35364at8782,36059at8782,7850at8782	6
3	42500001	42600000	42545450	5017	1900	13.75	15.5	-0.0598	-0.0035	-0.0023	-0.995301379393314	0.31958970710442114	0.0023	0.9975364377295958	FALSE	FALSE	1	36059at8782	Transcription factor, T-box	1	31311at8782,34006at8782,35364at8782,36059at8782,7850at8782	5
3	42600001	42700000	42651575	5061	2015	25	28.75	-0.0698	-0.0069	-0.0045	-1.0713459947845416	0.2840138859704746	0.0045	0.9975364377295958	FALSE	FALSE	1			0	36059at8782,7850at8782	2
3	42700001	42800000	42747694	5562	2252	15.5	17	-0.0462	-0.0029	-0.0019	-0.981475085685818	0.3263585146590686	0.0019	0.9975364377295958	FALSE	FALSE	1	7850at8782	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	1	36059at8782,7850at8782	2
3	42800001	42900000	42849838	6424	2674	40.25	17.25	0.4	0.0449	0.0283	0.062410089230124616	0.9502362605803629	0.0283	0.9975364377295958	FALSE	FALSE	1	7850at8782	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	1	36059at8782,7850at8782	2
3	42900001	43000000	42951037	5850	2390	36.5	31.5	0.0735	0.0098	0.0064	-0.6945794912552775	0.48731886853815576	0.0064	0.9975364377295958	FALSE	FALSE	1	7850at8782	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	1	36059at8782,7850at8782	2
3	43000001	43100000	43049066	6158	2587	96	27.75	0.5515	0.109	0.0656	1.3517119774541202	0.17646747195706713	0.0656	0.9975364377295958	FALSE	FALSE	1			0	36059at8782,7850at8782	2
3	43100001	43200000	43148374	6129	2619	39.375	42.125	-0.0337	-0.0048	-0.003	-1.0194973933814317	0.30796689002375643	0.003	0.9975364377295958	FALSE	FALSE	1			0	7850at8782	1
3	43200001	43300000	43246068	6296	2578	79	29.75	0.4529	0.0771	0.05	0.8124865228617789	0.4165125167456585	0.05	0.9975364377295958	FALSE	FALSE	1			0	7850at8782	1
3	43300001	43400000	43349520	5924	2494	71.875	22.875	0.5172	0.0847	0.053900000000000003	0.9472928865098643	0.34348955461838937	0.053900000000000003	0.9975364377295958	FALSE	FALSE	1			0	7850at8782,40313at8782	2
3	43400001	43500000	43449282	5541	2221	46.75	41.25	0.0625	0.0105	0.0068	-0.6807531975477815	0.49602766905945805	0.0068	0.9975364377295958	FALSE	FALSE	1			0	7850at8782,40313at8782	2
3	43500001	43600000	43548969	5472	2201	33.875	35.125	-0.0181	-0.0026	-0.0016	-0.9711053654051961	0.331495812262538	0.0016	0.9975364377295958	FALSE	FALSE	1			0	40313at8782	1
3	43600001	43700000	43648657	5884	2269	41.25	31.25	0.1379	0.0181	0.0123	-0.4906416590697125	0.6236799164056395	0.0123	0.9975364377295958	FALSE	FALSE	1			0	40313at8782	1
3	43700001	43800000	43751106	5582	2260	18.75	8.75	0.3636	0.0186	0.0113	-0.5252073933384523	0.5994390258798783	0.0113	0.9975364377295958	FALSE	FALSE	1			0	40313at8782	1
3	43800001	43900000	43852096	5267	2170	31.5	27.25	0.0723	0.0092	0.0058	-0.7153189318165214	0.4744119928955588	0.0058	0.9975364377295958	FALSE	FALSE	1	40313at8782	Parkin co-regulated protein	1	40313at8782	1
3	43900001	44000000	43948371	5219	2169	56.5	21.75	0.4441	0.0683	0.0422	0.5428737955656082	0.5872166992583798	0.0422	0.9975364377295958	FALSE	FALSE	1	40313at8782	Parkin co-regulated protein	1	40313at8782	1
3	44000001	44100000	44050706	5942	2392	63.375	52.875	0.0903	0.02	0.0113	-0.5252073933384523	0.5994390258798783	0.0113	0.9975364377295958	FALSE	FALSE	1	40313at8782	Parkin co-regulated protein	1	40313at8782	1
3	44100001	44200000	44150291	6704	2698	71.25	56.75	0.1133	0.0252	0.0158	-0.3696615891291231	0.7116346549831714	0.0158	0.9975364377295958	FALSE	FALSE	1			0	40313at8782	1
3	44200001	44300000	44249522	6696	2610	69	41	0.2545	0.0418	0.0278	0.045127222095754684	0.9640059034256625	0.0278	0.9975364377295958	FALSE	FALSE	1			0	40313at8782	1
3	44300001	44400000	44350284	6320	2565	53.5	50	0.0338	0.0052	0.0034	-0.7982766940614969	0.4247099395918177	0.0034	0.9975364377295958	FALSE	FALSE	1			0	40313at8782,1938at8782	2
3	44400001	44500000	44448907	5697	2322	43.875	43.625	0.0029	4e-4	3e-4	-0.9054304702945903	0.3652373794339385	3e-4	0.9975364377295958	FALSE	FALSE	1			0	40313at8782,1938at8782,7779at8782	3
3	44500001	44600000	44550610	6162	2630	73.75	50.75	0.1847	0.0372	0.0228	-0.12770144924794435	0.898385243150758	0.0228	0.9975364377295958	FALSE	FALSE	1			0	40313at8782,1938at8782,7779at8782,18393at8782,528at8782	5
3	44600001	44700000	44649433	6601	2752	54	44.75	0.0937	0.0151	0.0093	-0.594338861875932	0.5522854911702573	0.0093	0.9975364377295958	FALSE	FALSE	1			0	1938at8782,7779at8782,18393at8782,528at8782,35038at8782,18690at8782,46222at8782,16007at8782,26718at8782	9
3	44700001	44800000	44750931	6388	2611	112.375	43.875	0.4384	0.0974	0.0619	1.2238187606597826	0.22102060545626756	0.0619	0.9975364377295958	FALSE	FALSE	1			0	1938at8782,7779at8782,18393at8782,528at8782,35038at8782,18690at8782,46222at8782,16007at8782,26718at8782,28973at8782,40097at8782	11
3	44800001	44900000	44848309	5752	2322	25.5	50.25	-0.3267	-0.0495	-0.0314	-2.001164246613643	0.04537469257760107	0.0314	0.9975364377295958	FALSE	FALSE	1	1938at8782	Protein kinase domain	1	1938at8782,7779at8782,18393at8782,528at8782,35038at8782,18690at8782,46222at8782,16007at8782,26718at8782,28973at8782,40097at8782	11
3	44900001	45000000	44950431	6059	2581	46.375	47.375	-0.0107	-0.0019	-0.0012	-0.9572790716977002	0.33842641573356613	0.0012	0.9975364377295958	FALSE	FALSE	1	7779at8782	Serine proteases, trypsin domain	1	1938at8782,7779at8782,18393at8782,528at8782,35038at8782,18690at8782,46222at8782,16007at8782,26718at8782,28973at8782,40097at8782,2902at8782	12
3	45000001	45100000	45051004	6759	2874	72.625	75.375	-0.0186	-0.0042	-0.0025	-1.0022145262470619	0.31623999347605025	0.0025	0.9975364377295958	FALSE	FALSE	1	18393at8782,528at8782	Major facilitator,  sugar transporter-like,Cation-independent mannose-6-phosphate receptor	2	1938at8782,7779at8782,18393at8782,528at8782,35038at8782,18690at8782,46222at8782,16007at8782,26718at8782,28973at8782,40097at8782,2902at8782,35131at8782	13
3	45100001	45200000	45151545	6823	2685	103.25	49.75	0.3497	0.077	0.0488	0.7710076417392911	0.44070240209856393	0.0488	0.9975364377295958	FALSE	FALSE	1	528at8782,35038at8782,18690at8782,46222at8782,16007at8782,26718at8782	Cation-independent mannose-6-phosphate receptor,Proto-oncogene Mas,Ribonuclease CAF1,39S ribosomal protein L18, mitochondrial,Chaperonin Cpn60/TCP-1 family,Thiolase, C-terminal	6	1938at8782,7779at8782,18393at8782,528at8782,35038at8782,18690at8782,46222at8782,16007at8782,26718at8782,28973at8782,40097at8782,2902at8782,35131at8782	13
3	45200001	45300000	45253301	6854	2779	54.75	46	0.0868	0.0153	0.0093	-0.594338861875932	0.5522854911702573	0.0093	0.9975364377295958	FALSE	FALSE	1	26718at8782,28973at8782,40097at8782	Thiolase, C-terminal,Pre-mRNA-splicing regulator WTAP,Manganese/iron superoxide dismutase, C-terminal	3	1938at8782,7779at8782,18393at8782,528at8782,35038at8782,18690at8782,46222at8782,16007at8782,26718at8782,28973at8782,40097at8782,2902at8782,35131at8782	13
3	45300001	45400000	45351836	6202	2525	55.375	64.375	-0.0752	-0.0173	-0.0103	-1.2718272535432327	0.20343450340732727	0.0103	0.9975364377295958	FALSE	FALSE	1			0	1938at8782,7779at8782,18393at8782,528at8782,35038at8782,18690at8782,46222at8782,16007at8782,26718at8782,28973at8782,40097at8782,2902at8782,35131at8782	13
3	45400001	45500000	45449383	6507	2770	53.75	55.5	-0.016	-0.0031	-0.0019	-0.981475085685818	0.3263585146590686	0.0019	0.9975364377295958	FALSE	FALSE	1	2902at8782	Fibronectin type III	1	7779at8782,18393at8782,528at8782,35038at8782,18690at8782,46222at8782,16007at8782,26718at8782,28973at8782,40097at8782,2902at8782,35131at8782	12
